operator_type,batch_size,seq_len,hidden_dim1,hidden_dim2,latency_ms,memory_footprint_mb,flops,arithmetic_intensity
gemm,16,8,1024,1024,0.011878400295972823,2.5,268435456,102.4
gemm,16,8,1024,2048,0.01228799968957901,4.75,536870912,107.78947368421052
gemm,16,8,2048,128,0.012697599828243256,1.03125,67108864,62.06060606060606
gemm,16,8,2048,256,0.012895999848842621,1.5625,134217728,81.92
gemm,16,8,2048,512,0.013516800105571746,2.625,268435456,97.52380952380952
gemm,16,8,2048,1024,0.01884160041809082,4.75,536870912,107.78947368421052
gemm,16,8,2048,2048,0.019251200556755065,9.0,1073741824,113.77777777777777
gemm,16,16,128,128,0.012083200365304947,0.15625,8388608,51.2
gemm,16,16,128,256,0.011878400295972823,0.25,16777216,64.0
gemm,16,16,128,512,0.011878400295972823,0.4375,33554432,73.14285714285714
gemm,16,16,128,1024,0.010860799998044967,0.8125,67108864,78.76923076923077
gemm,16,16,128,2048,0.02969599962234497,1.5625,134217728,81.92
gemm,16,16,256,128,0.01085439994931221,0.25,16777216,64.0
gemm,16,16,256,256,0.011264000087976456,0.375,33554432,85.33333333333333
gemm,16,16,256,512,0.011673600226640702,0.625,67108864,102.4
gemm,16,16,256,1024,0.01228799968957901,1.125,134217728,113.77777777777777
gemm,16,16,256,2048,0.011673600226640702,2.125,268435456,120.47058823529412
gemm,16,16,512,128,0.011878400295972823,0.4375,33554432,73.14285714285714
gemm,16,16,512,256,0.011878400295972823,0.625,67108864,102.4
gemm,16,16,512,512,0.011468800157308579,1.0,134217728,128.0
gemm,16,16,512,1024,0.03051519989967346,1.75,268435456,146.28571428571428
gemm,16,16,512,2048,0.03051519989967346,3.25,536870912,157.53846153846155
gemm,16,16,1024,128,0.013516800105571746,0.8125,67108864,78.76923076923077
gemm,16,16,1024,256,0.011878400295972823,1.125,134217728,113.77777777777777
gemm,16,16,1024,512,0.012083200365304947,1.75,268435456,146.28571428571428
gemm,16,16,1024,1024,0.01228799968957901,3.0,536870912,170.66666666666666
gemm,16,16,1024,2048,0.03624959886074066,5.5,1073741824,186.1818181818182
gemm,16,16,2048,128,0.014336000382900237,1.5625,134217728,81.92
gemm,16,16,2048,256,0.01228799968957901,2.125,268435456,120.47058823529412
gemm,16,16,2048,512,0.015564799308776855,3.25,536870912,157.53846153846155
gemm,16,16,2048,1024,0.022521600127220154,5.5,1073741824,186.1818181818182
gemm,16,16,2048,2048,0.045875200629234315,10.0,2147483648,204.8
gemm,16,32,128,128,0.011264000087976456,0.28125,16777216,56.888888888888886
gemm,16,32,128,256,0.011878400295972823,0.4375,33554432,73.14285714285714
gemm,16,32,128,512,0.012083200365304947,0.75,67108864,85.33333333333333
gemm,16,32,128,1024,0.02887679934501648,1.375,134217728,93.0909090909091
gemm,16,32,128,2048,0.01064319983124733,2.625,268435456,97.52380952380952
gemm,16,32,256,128,0.01228799968957901,0.4375,33554432,73.14285714285714
gemm,16,32,256,256,0.01228799968957901,0.625,67108864,102.4
gemm,16,32,256,512,0.011673600226640702,1.0,134217728,128.0
gemm,16,32,256,1024,0.02887679934501648,1.75,268435456,146.28571428571428
gemm,16,32,256,2048,0.012902399897575379,3.25,536870912,157.53846153846155
gemm,16,32,512,128,0.01085439994931221,0.75,67108864,85.33333333333333
gemm,16,32,512,256,0.010649599879980088,1.0,134217728,128.0
gemm,16,32,512,512,0.011059200018644333,1.5,268435456,170.66666666666666
gemm,16,32,512,1024,0.012492799758911132,2.5,536870912,204.8
gemm,16,32,512,2048,0.01945600062608719,4.5,1073741824,227.55555555555554
gemm,16,32,1024,128,0.011059200018644333,1.375,134217728,93.0909090909091
gemm,16,32,1024,256,0.011878400295972823,1.75,268435456,146.28571428571428
gemm,16,32,1024,512,0.01228799968957901,2.5,536870912,204.8
gemm,16,32,1024,1024,0.03522560000419617,4.0,1073741824,256.0
gemm,16,32,1024,2048,0.032358399033546446,7.0,2147483648,292.57142857142856
gemm,16,32,2048,128,0.01372160017490387,2.625,268435456,97.52380952380952
